pfr_player_name,round,pick,team
Travis Hunter,1,2,JAX
Tetairoa McMillan,1,8,CAR
Emeka Egbuka,1,19,TAM
Matthew Golden,1,23,GNB
Jayden Higgins,2,34,HOU
Luther Burden,2,39,CHI
Tre Harris,2,55,LAC
Jack Bech,2,58,LVR
Kyle Williams,3,69,NWE
Isaac TeSlaa,3,70,DET
Pat Bryant,3,74,DEN
Jaylin Noel,3,79,HOU
Savion Williams,3,87,GNB
Tai Felton,3,102,MIN
Chimere Dike,4,103,TEN
Dont'e Thornton,4,108,LVR
Arian Smith,4,110,NYJ
Jaylin Lane,4,128,WAS
Jalen Royals,4,133,KAN
Elic Ayomanor,4,136,TEN
Jordan Watkins,4,138,SFO
KeAndre Lambert-Smith,5,158,LAC
Tory Horton,5,166,SEA
LaJohntay Wester,6,203,BAL
Jimmy Horn,6,208,CAR
Tez Johnson,7,235,TAM
Ricky White,7,238,SEA
Kaden Prather,7,240,BUF
Konata Mumpfield,7,242,LAR
Dominic Lovett,7,244,DET
Junior Bergen,7,252,SFO
