player,season,position,games_played,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,FPPG,FPPG_PPR,season_rank,rookie_season,year_in_league
Ja'Marr Chase,2022,WR,12,87,134,1046,9,155.4,242.39999999999998,12.95,20.2,3,2021,1
Malik Nabers,2024,WR,15,109,170,1204,7,164.60000000000002,273.6,10.97,18.24,6,2024,Rookie
Ja'Marr Chase,2021,WR,17,81,128,1455,13,223.60000000000002,304.6000000000001,13.15,17.92,5,2021,Rookie
Amon-Ra St. Brown,2022,WR,16,106,146,1161,6,161.6,267.59999999999997,10.1,16.72,10,2021,1
Brian Thomas Jr.,2024,WR,17,87,133,1282,10,197.00000000000003,284.0,11.59,16.71,11,2024,Rookie
Jaylen Waddle,2021,WR,16,104,140,1015,6,143.79999999999998,247.79999999999995,8.99,15.49,13,2021,Rookie
Jaylen Waddle,2022,WR,17,75,117,1356,8,184.20000000000002,259.2,10.84,15.25,13,2021,1
DeVonta Smith,2022,WR,17,95,136,1196,7,161.60000000000002,256.6,9.51,15.09,14,2021,1
Ladd McConkey,2024,WR,16,82,112,1149,7,158.9,240.9,9.93,15.06,17,2024,Rookie
Chris Olave,2023,WR,16,87,138,1123,5,144.3,231.30000000000004,9.02,14.46,19,2022,1
Amon-Ra St. Brown,2021,WR,16,90,119,912,5,137.29999999999998,227.29999999999998,8.58,14.21,24,2021,Rookie
